t,phase,h,v,mach,q,drag,thrust,weight,mass,accel,accel_g,TW,T,T_C,p,p_kPa,rho,a_snd,mu,nu,sigma,delta,Re_body,Re_fin
4.2,coast-to-staging,184.103813,30.973755,0.09121,577.30076,1.759597,0.0,12.575067,1.2823,-11.17887,-1.139927,0.0,286.95336,13.80336,99132.854014,99.132854,1.203495,339.58666,1.8e-05,1.5e-05,0.982445,0.978365,175557.724792,156747.968564
4.25,coast-to-staging,185.638494,30.416139,0.08957,556.619385,1.696561,0.0,12.575067,1.2823,-11.129711,-1.134915,0.0,286.943385,13.793385,99114.743702,99.114744,1.203317,339.580758,1.8e-05,1.5e-05,0.9823,0.978186,172376.342163,153907.44836
4.3,coast-to-staging,187.145356,29.860946,0.087936,536.406685,1.634953,0.0,12.575067,1.2823,-11.081666,-1.130015,0.0,286.933591,13.783591,99096.964299,99.096964,1.203142,339.574962,1.8e-05,1.5e-05,0.982157,0.978011,169209.824364,151080.200325
4.35,coast-to-staging,188.624517,29.30812,0.08631,516.655488,1.574752,0.0,12.575067,1.2823,-11.034718,-1.125228,0.0,286.923977,13.773977,99079.514247,99.079514,1.202971,339.569273,1.8e-05,1.5e-05,0.982017,0.977839,166057.831034,148265.920566
4.4,coast-to-staging,190.076096,28.757606,0.08469,497.35883,1.515936,0.0,12.575067,1.2823,-10.988851,-1.120551,0.0,286.914542,13.764542,99062.392026,99.062392,1.202803,339.563691,1.8e-05,1.5e-05,0.98188,0.97767,162920.027097,145464.309908
4.45,coast-to-staging,191.500206,28.209353,0.083077,478.509951,1.458486,0.0,12.575067,1.2823,-10.944048,-1.115982,0.0,286.905286,13.755286,99045.59615,99.045596,1.202637,339.558213,1.8e-05,1.5e-05,0.981745,0.977504,159796.0826,142675.07375
4.5,coast-to-staging,192.896959,27.663306,0.08147,460.10229,1.402379,0.0,12.575067,1.2823,-10.900294,-1.111521,0.0,286.896208,13.746208,99029.12517,99.029125,1.202476,339.552841,1.8e-05,1.5e-05,0.981613,0.977341,156685.672564,139897.921933
4.55,coast-to-staging,194.266463,27.119413,0.079869,442.129479,1.347599,0.0,12.575067,1.2823,-10.857573,-1.107164,0.0,286.887307,13.737307,99012.977669,99.012978,1.202317,339.547573,1.8e-05,1.5e-05,0.981483,0.977182,153588.476842,137132.568609
4.6,coast-to-staging,195.608826,26.577624,0.078275,424.585338,1.294125,0.0,12.575067,1.2823,-10.815871,-1.102912,0.0,286.878582,13.728582,98997.152264,98.997152,1.202161,339.54241,1.8e-05,1.5e-05,0.981356,0.977026,150504.179966,134378.732113
4.65,coast-to-staging,196.924152,26.037888,0.076686,407.463868,1.241939,0.0,12.575067,1.2823,-10.775174,-1.098762,0.0,286.870033,13.720033,98981.647606,98.981648,1.202009,339.537351,1.8e-05,1.5e-05,0.981232,0.976873,147432.471018,131636.134837
