z_m,h_geopot_m,T_K,T_C,p_Pa,p_kPa,p_atm,rho_kgm3,a_ms,mu_Pas,nu_m2s,sigma,delta,theta
16750,16706.0,216.65,-56.5,9203.639908,9.20364,0.090833,0.147992,295.069494,1.4e-05,9.6e-05,0.12081,0.090833,0.751865
17000,16954.7,216.65,-56.5,8849.716198,8.849716,0.08734,0.142301,295.069494,1.4e-05,0.0001,0.116164,0.08734,0.751865
17250,17203.3,216.65,-56.5,8509.428712,8.509429,0.083982,0.13683,295.069494,1.4e-05,0.000104,0.111698,0.083982,0.751865
17500,17452.0,216.65,-56.5,8182.251058,8.182251,0.080753,0.131569,295.069494,1.4e-05,0.000108,0.107403,0.080753,0.751865
17750,17700.6,216.65,-56.5,7867.6772,7.867677,0.077648,0.12651,295.069494,1.4e-05,0.000112,0.103274,0.077648,0.751865
18000,17949.2,216.65,-56.5,7565.220674,7.565221,0.074663,0.121647,295.069494,1.4e-05,0.000117,0.099304,0.074663,0.751865
18250,18197.8,216.65,-56.5,7274.413828,7.274414,0.071793,0.116971,295.069494,1.4e-05,0.000122,0.095486,0.071793,0.751865
18500,18446.3,216.65,-56.5,6994.807092,6.994807,0.069033,0.112475,295.069494,1.4e-05,0.000126,0.091816,0.069033,0.751865
18750,18694.9,216.65,-56.5,6725.968278,6.725968,0.06638,0.108152,295.069494,1.4e-05,0.000131,0.088287,0.06638,0.751865
19000,18943.4,216.65,-56.5,6467.481909,6.467482,0.063829,0.103996,295.069494,1.4e-05,0.000137,0.084894,0.063829,0.751865
19250,19191.9,216.65,-56.5,6218.948567,6.218949,0.061376,0.099999,295.069494,1.4e-05,0.000142,0.081632,0.061376,0.751865
19500,19440.4,216.65,-56.5,5979.984276,5.979984,0.059018,0.096157,295.069494,1.4e-05,0.000148,0.078495,0.059018,0.751865
19750,19688.8,216.65,-56.5,5750.219901,5.75022,0.05675,0.092462,295.069494,1.4e-05,0.000154,0.075479,0.05675,0.751865
20000,19937.3,216.65,-56.5,5529.300574,5.529301,0.05457,0.08891,295.069494,1.4e-05,0.00016,0.072579,0.05457,0.751865
20250,20185.7,216.835697,-56.314303,5316.951826,5.316952,0.052474,0.085422,295.195923,1.4e-05,0.000167,0.069732,0.052474,0.75251
20500,20434.1,217.084102,-56.065898,5112.995799,5.112996,0.050461,0.082051,295.364961,1.4e-05,0.000174,0.066981,0.050461,0.753372
20750,20682.5,217.332487,-55.817513,4917.09844,4.917098,0.048528,0.078817,295.53389,1.4e-05,0.000181,0.064341,0.048528,0.754234
21000,20930.9,217.580854,-55.569146,4728.932092,4.728932,0.046671,0.075715,295.702709,1.4e-05,0.000188,0.061808,0.046671,0.755096
21250,21179.2,217.8292,-55.3208,4548.182793,4.548183,0.044887,0.072738,295.871418,1.4e-05,0.000196,0.059378,0.044887,0.755958
21500,21427.5,218.077527,-55.072473,4374.549689,4.37455,0.043173,0.069881,296.040018,1.4e-05,0.000205,0.057046,0.043173,0.756819
21750,21675.8,218.325835,-54.824165,4207.744474,4.207744,0.041527,0.06714,296.208509,1.4e-05,0.000213,0.054808,0.041527,0.757681
22000,21924.1,218.574123,-54.575877,4047.49085,4.047491,0.039946,0.06451,296.37689,1.4e-05,0.000222,0.052661,0.039946,0.758543
22250,22172.4,218.822392,-54.327608,3893.524014,3.893524,0.038426,0.061985,296.545163,1.4e-05,0.000231,0.0506,0.038426,0.759404
22500,22420.6,219.070641,-54.079359,3745.590167,3.74559,0.036966,0.059563,296.713328,1.4e-05,0.000241,0.048623,0.036966,0.760266
22750,22668.9,219.318871,-53.831129,3603.446043,3.603446,0.035563,0.057237,296.881384,1.4e-05,0.000251,0.046724,0.035563,0.761127
